Reboiler_Spec,Condenser_Spec,Condenser_Duty,Reboiler_Duty,T_top,T_mid,T_bottom,Condenser_Duty_pred,Reboiler_Duty_pred,T_top_pred,T_mid_pred,T_bottom_pred,residual,anomaly
1.75111,2.16667,30.5595,-30.9617,351.553,353.295,357.37,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,21.34590000000012,1
1.75111,2.21111,30.9855,-31.3867,351.552,353.277,357.376,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,21.177900000000133,1
1.75111,2.25556,31.412,-31.8121,351.551,353.259,357.381,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,21.009920000000125,1
1.75111,2.3,31.8391,-32.2383,351.55,353.24,357.386,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,20.841860000000118,1
1.8,1.9,22.4244,-22.8568,351.56,353.467,356.838,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,24.66730000000012,1
1.8,1.94444,22.7662,-23.1988,351.559,353.44,356.84,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,24.535340000000133,1
1.8,1.98889,23.1091,-23.542,351.558,353.414,356.842,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,24.402720000000127,1
1.8,2.03333,23.4526,-23.8837,351.556,353.396,356.85,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,24.26728000000011,1
1.8,2.07778,23.7916,-24.2234,351.556,353.371,356.848,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,24.13694000000012,1
1.8,2.12222,24.137,-24.5677,351.554,353.352,356.855,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,24.00100000000012,1
1.8,2.16667,24.4797,-24.9104,351.554,353.33,356.857,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,23.86792000000012,1
1.8,2.21111,24.8222,-25.253,351.553,353.309,356.858,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,23.734700000000117,1
1.8,2.25556,25.1644,-25.5954,351.552,353.289,356.86,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,23.601180000000127,1
1.8,2.3,25.505,-25.9346,351.551,353.274,356.864,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,23.467220000000125,1
